category,product_name,total_revenue_kategori
Blazers & Jackets,Trina Turk Women's Snowonder Blazer,3980.0
Dresses,HALSTON HERITAGE Women's Sleeveless V-Neck Faille Dress,3960.0
Jeans,Ralph Lauren Double RL RRL Men Slim Bootcut Jeans - Made in USA,3905.0
Accessories,Oakley Men's Radar Path Iridium Polarized Sunglasses,3900.0
Jeans,Joe's Jeans Men's Slim Fit Straight Leg Brixton,3892.0
Outerwear & Coats,Filson Men's Mackinaw Cruiser Jacket,3874.0
Outerwear & Coats,Pendleton The Portland Collection Women's Dolman Overcoat,3850.0
Outerwear & Coats,Arc'teryx Theta SV Jacket - Men's,3850.0
Suits & Sport Coats,Joseph Abboud Men's Two-button Side Vent Blazer,3848.0
Outerwear & Coats,Men's Andrew Marc Nucky Lambskin Leather Bomber Jacket with Sheepskin Collar,3832.0
Jeans,7 For All Mankind Women's Roxanne Slim Fit Jean,3800.9199829101562
Outerwear & Coats,Barbour Women's Beadnell Waxed Cotton Jacket - Rustic,3790.0
Outerwear & Coats,Nobis Men's Cartel Jacket,3750.0
Outerwear & Coats,Arc'teryx Theta SL Hybrid Jacket - Men's,3749.500122070313
Suits & Sport Coats,Ben Sherman Men's Plectrum Double Button Blazer,3723.85986328125
Sweaters,Men's St. Croix Long Sleeve Double Lock 1/4 Zip Sweater,3685.0
Outerwear & Coats,Arc'teryx Men's Theta AR Jacket,3675.0
Jeans,True Religion Men's Ricky Super-T Straight Jean,3674.0
Shorts,Quiksilver Men's Rockefeller Walkshort,3612.0
Socks,Jordan Low Quarter Sock Style # 427411,3612.0
Intimates,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,3612.0
Sweaters,Diesel Men's K-Nahoa Sweater,3608.0
Outerwear & Coats,Mountain Hardwear Women's Downtown Coat,3600.0
Outerwear & Coats,Oakley Men's Originate Jacket,3600.0
Sleep & Lounge,Regency New York Men's Smoking Jacket Bartholomew Navy,3599.5501098632817
Blazers & Jackets,Rebecca Minkoff Women's Becky Jacket,3590.1000366210938
Dresses,IGIGI by Yuliya Raquel Plus Size Kandinsky Gown,3575.0
Sweaters,Dale Of Norway Anniversary Quarter-zip Sweater,3575.0
Outerwear & Coats,Women's Jane Sheepskin B-3 Bomber Jacket,3570.0
Outerwear & Coats,Men's Classic Sheepskin B-3 Bomber Jacket,3570.0
Dresses,Rebecca Taylor Women's Lace Dress,3555.0
Pants,True Religion Men's Ricky Straight Corduroy Pant,3519.9598388671875
Outerwear & Coats,Outdoor Research Men's Furio Jacket,3500.0
Outerwear & Coats,Arc'teryx Women's Stingray Jacket,3493.0
Outerwear & Coats,Canada Goose Women's Chilliwack Bomber,3475.0
Active,Canada Goose Women's Solaris,3475.0
Dresses,Parker Women's Beaded Spaghetti Tank Dress,3459.89990234375
Outerwear & Coats,Faconnable Men's Reversible Trench Coat,3450.0
Outerwear & Coats,Marc New York by Andrew Marc Men's Nucky Natural Rugged Lamb Bomber Jacket with Shearling Collar,3432.0
Suits & Sport Coats,Faconnable Men's Double Face Wool Jacket,3412.5
Blazers & Jackets,BCBGMAXAZRIA Women's Bowie Tuxedo Jacket,3407.9400329589844
Accessories,Costa Del Mar Brine Polarized Sunglasses - Costa 400 Glass Lens,3401.099945068359
Active,Women's The North Face Half Dome Hoodie Sweatshirt Graphite Grey/Teaberry Pink,3388.0
Suits & Sport Coats,Paul Fredrick 100% Wool Double-Breasted Peak Lapel Houndstooth Suit,3370.5
Accessories,Costa Del Mar - Blackfin - Camo Frame-580 Green Mirror Glass Polarized Lenses,3367.0
Sleep & Lounge,Hanro Men's Plaza Robe,3360.0
Dresses,Parker Women's Beaded Shift Dress,3344.0
Accessories,Oakley Men's Racing Jacket Oval Sunglasses,3320.0
Blazers & Jackets,NAU Highline Blazer Women's Clothing,3319.6000976562505
Outerwear & Coats,Men's Moncler Down Vest Tib,3300.0
Outerwear & Coats,HALSTON HERITAGE Women's Oversized Double Faced Coat,3296.929931640625
Dresses,Alice & Trixie Women's Georgina Tunic,3250.0
Suits & Sport Coats,DKNY Men's 100% Wool Black Tuxedo,3245.0
Sleep & Lounge,BedHead Pajamas Women's Cashmere Robe,3240.0
Active,Icebreaker Men's Legacy Hood,3200.0
Sleep & Lounge,Regency New York Men's Smoking Jacket Maxwell Black,3199.6000976562505
Outerwear & Coats,Men's Knee Length Overcoat in Pure Cashmere,3192.0
Blazers & Jackets,Rebecca Minkoff Women's Ponte Ryder Jacket,3184.0
Outerwear & Coats,Canada Goose Women's Expedition Parka,3180.0
Leggings,Catherine Malandrino Women's Stretch Leather Pant,3172.8599853515625
Jeans,Hudson Women's Collin Skinny Jean,3168.0
Jeans,Lucky Brand Mens Men's 361 Vintage Straight Denim Jean,3168.0
Jeans,Diesel Men's Thavar Skinny Straight Leg Jean,3163.6499786376953
Outerwear & Coats,Zero Restriction Men's Featherweight Traveler Jacket Removable Sleeve Rain Jacket,3160.0
Outerwear & Coats,Arc'teryx Men's Diplomat Jacket,3150.0
Jeans,PAIGE Women's Verdugo Ultra Skinny Jean,3140.9200439453125
Suits & Sport Coats,Calvin Klein Mens Black Pinstripe Slim Fit Wool Cashmere Suit,3119.8798828125
Outerwear & Coats,Spiewak Men's Systems Field Jacket,3114.0
Jeans,7 For All Mankind Men's Slimmy Slim Straight Leg Jean,3106.6000366210938
Outerwear & Coats,The North Face Apex Bionic Soft Shell Jacket - Women's,3080.0
Outerwear & Coats,The North Face Womens Khumbu Jacket Brown White Black Red,3080.0
Suits & Sport Coats,Jones New York Men's Athletic Fit Suit,3079.889892578125
Outerwear & Coats,Arc'teryx Men's Epsilon SV Hoody,3055.0
Sweaters,Magaschoni Women's 100% Cashmere Peplum Back Sweater,3024.0
Sweaters,Faconnable Men's Double Closure Sweater Vest,3007.1700439453125
Outerwear & Coats,Barbour Sapper Jacket,3003.0
Sleep & Lounge,Derek Rose Men's Flannel Classic Pajama Set,3000.0
Outerwear & Coats,Mountain Hardwear Women's Chillwave Down Jacket,3000.0
Accessories,Oakley Frogskin Polarized Aviator Sunglasses,3000.0
Suits & Sport Coats,Sandals Cay Men's Three-Button Cashmere Blend Sport Coat in Gray Navy or Tan,2999.93994140625
Sweaters,Barbour Storm Half Zip Sweater Navy,2999.89990234375
Blazers & Jackets,Diesel Women's De-Nix Jacket,2996.0
Outerwear & Coats,Jones New York Women's Hidden Snap Notch Collar Coat,2995.0
Outerwear & Coats,Alpha Industries A-2 Leather Jacket,2975.0
Skirts,Robert Rodriguez Women's High Waisted Pencil Skirt,2975.0
Accessories,Tom Ford Marko FT0144 Sunglasses - 18V Shiny Rhodium (Blue Lens) - 58mm,2973.5001220703125
Suits & Sport Coats,Paul Fredrick Performance 100% Wrinkle \ Stain Resistant Wool Suit,2971.5
Suits & Sport Coats,Paul Fredrick Herringbone Wool Blend Double-Breasted Suit,2971.5
Suits & Sport Coats,Ben Sherman Men's Side Vent 2 Piece Suit,2970.0
Outerwear & Coats,Canada Goose Women's Camp Hooded Jacket,2970.0
Active,Mammut Women's Ultimate Hoody,2969.909912109375
Sweaters,Diesel Men's K-Pilinani Sweater,2952.0
Fashion Hoodies & Sweatshirts,True Religion Men's TRBJ Power Through Peace Flatlock Hoodie,2933.2998657226562
Sweaters,Rebecca Taylor Women's Cashmere Marl Pullover,2925.0
Jeans,Diesel Men's Zathan Regular Bootcut Jean,2915.2999572753906
Outerwear & Coats,Genuine leather Trench Coat - Style GFTRM,2907.4799194335938
Suits & Sport Coats,Diesel Men's Judocu Jacket,2880.0
Sweaters,4 Ply Shephe Men's Mock Turtleneck Cashmere Sweater,2873.0
Suits & Sport Coats,Calvin Klein Mens Navy Blue Pindot Slim Fit Wool Suit,2859.889892578125
Suits & Sport Coats,Jones New York Men's 24/7 Total Comfort Sharkskin Wool Suit,2842.079956054688
Jeans,True Religion Men's TRBJ Ricky Straight Jean,2827.0
Jeans,7 For All Mankind Men's Austyn Relaxed Straight Jean,2817.0
Sweaters,Minnie Rose Women's Kangaroo Pocket Pullover,2816.0
Jeans,Diesel Men's Krooley Regular Carrot Jean,2805.0
Outerwear & Coats,Carhartt Men's Flame Resistant Heavyweight Duck Traditional Coat,2804.4499664306636
Outerwear & Coats,Cole Haan Men's Smooth Lamb Jacket,2800.0
Outerwear & Coats,Men's Double Breasted Overcoat in Pure Cashmere,2793.0
Suits & Sport Coats,Paul Fredrick 100% Cotton Corduroy Coat,2793.0
Outerwear & Coats,Cwu Pilot 183111 45P Vintage,2793.0
Skirts,Robert Rodriguez Women's Pencil Skirt,2790.0
Outerwear & Coats,Outdoor Research Men's Virtuoso Jacket,2750.0
Jeans,True Religion Men's Joey Super T,2749.890060424805
Suits & Sport Coats,Mantoni 1 Button PEAK Lapel Men's Tuxedo Suit with Vest Solid Black 100% Virgin Wool,2749.4499664306636
Outerwear & Coats,The North Face Apex Bionic Jacket - Men's,2709.0
Active,adidas Women's adiFIT Slim Pant,2709.0
Plus,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,2709.0
Outerwear & Coats,Volcom Men's Three's Ins Jacket,2700.0
Suits & Sport Coats,Theory Light Grey Blazer,2699.909912109375
Sleep & Lounge,Regency New York Men's Smoking Jacket Horatio Black,2699.5501098632812
Sweaters,Barbour Storm Waterproof Sweater,2691.0
Dresses,BCBGMAXAZRIA Women's Morris Knit Sportswear Dress,2688.0
Dresses,BCBGMAXAZRIA Women's Jeisa Sleeveless Color Block Pleated Dress,2682.0
Dresses,BCBGMAXAZRIA Women's Edesa V-Neck Shirred Dress,2682.0
Jeans,True Religion Men's Ricky Super Jean,2681.0
Suits,LE SUIT Textured 2PC Jacket/Skirt Suit,2670.0
Suits & Sport Coats,Ben Sherman Men's Plectrum Tuxedo Blazer,2655.0
Outerwear & Coats,Barbour Classic Bedale Jacket / Barbour Active Classic Bedale Jacket,2653.0
Outerwear & Coats,Barbour Bedale Wax Cotton Jacket Olive,2653.0
Sleep & Lounge,Hanro Men's Turin Pajama Set,2650.0
Jeans,True Religion Men's Ricky SPT Boot Cut Jean,2647.1499328613286
Jeans,True Religion Men's Geno Baja Slim Jean,2640.0
Active,Champion Men's Double Dry Classic Fleece Full Zip Hood,2639.9698791503906
Suits & Sport Coats,FactoryExtreme Suburban Leap Dark Men's Brown Leather Blazer,2628.7799530029292
Outerwear & Coats,Trina Turk Women's Elizabeth Toggle Coat,2612.519989013672
Pants,Carhartt Mens Duck Bib Quilt Lined,2609.5501098632812
Outerwear & Coats,Rab Neutrino Endurance Down Jacket - Men's,2600.0
Suits & Sport Coats,Ben Sherman Men's Plectrum Pique Jersey Blazer,2600.0
Suits & Sport Coats,Tommy Hilfiger Men's Slim Stripe Trim Fit Suit,2599.89990234375
Accessories,Ray-Ban Unisex RB4105 Folding Wayfarer Sunglasses,2590.9000396728516
Sweaters,Filson Mens 11010LD Midweight Merino Wool Pullover - Loden,2580.0
Jeans,7 For All Mankind Men's The Straight Modern Jean,2577.0
Dresses,BCBGMAXAZRIA Women's Gisela Criss Cross Foil Print Dress,2576.0
Outerwear & Coats,Mountain Hardwear Women's Ghost Whisperer Down Jacket,2565.0
Outerwear & Coats,BGSD Women's New Zealand Lambskin Leather Hooded Parka Coat with Fox Fur Trim in Black or Brown - Misses & Plus,2559.919921875
Outerwear & Coats,Spiewak The Plymouth Jacket in Brown Caramel,2550.0
Suits & Sport Coats,Paul Fredrick 100% Wool Double-Breasted Windowpane Suit,2547.0
Jeans,Diesel Men's Larkee Regular Straight Leg Jean,2545.6499786376953
Jeans,Diesel Women's Getlegg Jean,2523.8399963378906
Jeans,Diesel Men's Viker Regular Slim Straight Leg Jean,2521.349960327148
Suits & Sport Coats,G-Star Men's Cl New Blazer,2520.0
Blazers & Jackets,Jones New York Women's Classic Tuxedo Jacket,2519.0
Outerwear & Coats,Marc New York by Andrew Marc Men's Cruz Soft Leather Open Bottom Jacket,2512.5
Suits & Sport Coats,Savile Row Mens Grey Herringbone Wool Cashmere Jacket,2511.0
Plus,Prada 1M0506 Saffiano Leather Wallet Coffee,2508.0
Suits & Sport Coats,Tommy Hilfiger Men's 2 Button Side Vent Windowpane Trim Fit Sport Coat,2499.900054931641
Suits & Sport Coats,Michael Kors Mens 2 Button Flat Front Dark Navy Blue Pinstripe Wool Suit,2499.900054931641
Dresses,Tracy Reese Women's Contrast Frock,2490.0
Sweaters,Michael Kors Men's Full Zip,2488.500061035156
Accessories,Canada Goose Men's Aviator Hat,2475.0
Outerwear & Coats,Royal Robbins Women's Zip N' Go Pant,2474.4499664306636
Blazers & Jackets,Robert Rodriguez Women's Double Breasted Blazer,2473.8999938964844
Blazers & Jackets,Parker Women's Zip Jacket,2464.0
Outerwear & Coats,Icebreaker Men's Legacy Coat,2450.0
Dresses,Tracy Reese Women's Contrast Frock Dress,2448.0
Outerwear & Coats,Woolrich Women's Arctic Parka,2443.0
Jeans,Diesel Men's Safado Slim Straight Leg 802I Jean,2439.4999694824214
Blazers & Jackets,MAXSTUDIO SILK & COTTON TAILORED JACKET,2436.0
Jeans,PAIGE Women's Skyline Ankle Peg Jean,2429.900001525879
Jeans,Joe's Jeans Men's Rebel Relaxed Fit Jean,2428.3800201416016
Outerwear & Coats,Mountain Hardwear Women's Downtown Parka,2420.0
Dresses,erin Erin Fetherston Women's Lace Twofer Dress,2415.0
Dresses,HALSTON HERITAGE Women's Sleeveless Mock Neck Dress,2411.909912109375
Jeans,Diesel Men's Zathan 885K Regular Bootcut Jean,2407.2999572753906
Outerwear & Coats,Mountain Hardwear Women's Citilicious Coat,2400.0
Pants,G-Star Men's Co Rovic Loose Pant,2400.0
Outerwear & Coats,Canada Goose Men's Lodge Jacket,2400.0
Suits & Sport Coats,Elie Tahari Mens 2 Button Flat Front Charcoal Gray Pinstripe Wool Suit,2399.900054931641
Blazers & Jackets,Sutton Studio Cashmere Jacket,2399.880065917969
Suits & Sport Coats,Calvin Klein Body Mens Black Windowpane Slim Fit Wool Suit,2399.880065917969
Sleep & Lounge,Regency New York Men's Smoking Jacket Constantine Black,2399.700073242188
Outerwear & Coats,Barbour Beaufort Jacket,2394.0
Outerwear & Coats,Arc'teryx Women's Sylva Parka,2394.0
Outerwear & Coats,Arcteryx Alpha FL Jacket - Women's,2394.0
Accessories,Maui Jim Mavericks Sunglasses,2392.0
Skirts,Rebecca Minkoff Women's Leather Luciana Skirt,2392.0
Outerwear & Coats,DKNYC Women's Long Sleeve Real Leather Front Cozy,2392.0
Dresses,French Connection Women's Solar Heat Dress,2388.0
Outerwear & Coats,Men's Cashmere Pea Coat,2388.0
Dresses,Trina Turk Women's Baroness Dress,2388.0
Sweaters,Scotch & Soda Men's Chunky Shawl Collar Cardigan,2385.0
Outerwear & Coats,Nobis Merideth Parka,2385.0
Jeans,True Religion Women's Vintage Billy Straight Jean,2376.0
Pants,7 For All Mankind Men's Slimmy Slim Straight Leg,2376.0
Outerwear & Coats,Arc'teryx Men's Beta AR Jacket,2375.0
Suits & Sport Coats,Ben Sherman Men's Plectrum Velvet Blazer,2370.0
Dresses,Jones New York Women's Sequins Short Sleeve Dress,2366.0
Outerwear & Coats,Alpha Industries Cobbs 2 Jacket,2366.0
Dresses,BCBGMAXAZRIA Women's Marta 3/4 Sleeve Sequin Dress,2366.0
Outerwear & Coats,Ibex Men's Europa Jacket,2360.0
Shorts,True Religion Men's Samuel Cargo Short,2359.8799896240234
Outerwear & Coats,Funktional Women's Moto Jacket,2349.6000366210938
Jeans,True Religion Men's Ricky Straight Vintage Jean,2344.0
Active,Mountain Hardwear Women's Pyxis Hoody,2340.0
Jeans,Earnest Sewn Men's Ace Boot Cut Jean,2340.0
Jeans,PAIGE Women's Hidden Hills Straight,2337.0
Active,Pearl Izumi Men's Pro Softshell Jacket,2324.79995727539
Jeans,Joe's Jeans Men's Brixton Jean,2317.0
Jeans,G-Star Men's Attacc Straight Vintage Jean,2310.0
Outerwear & Coats,Perry Ellis Men's Lamb Zip Front Open Bottom Jacket,2299.900054931641
Outerwear & Coats,Levi's Men's Leather Racer Quilted Shoulders Jacket,2299.900054931641
Jeans,Hudson Men's Beau Microboot Jean,2299.0
Jeans,True Religion Men's Bobby Super Jean,2298.0
Jeans,Silver Jeans Men's Zac Relaxed Fit Jean,2298.0
Suits & Sport Coats,GUESS by Marciano Woven Blazer,2296.0
Dresses,Trina Turk Women's Inga Dress,2296.0
Jeans,Diesel Jean Thavar 8W7,2294.6000671386714
Jeans,True Religion Men's Geno Workwear Slim Jean,2288.0
Jeans,True Religion Women's Becky Super T,2282.0
Jeans,Diesel Men's Larkee Relaxed Straight Leg Jean,2281.700050354004
Sweaters,Autumn Cashmere Women's Color Block Boxy Boatneck Tunic,2280.0
Outerwear & Coats,Mountain Hardwear Men's Ghost Whisperer Down Jacket,2280.0
Outerwear & Coats,Calvin Klein Men's Slim Fit Coat,2275.0
Jeans,7 For All Mankind Women's Kimmie Bootcut Jean,2268.0
Underwear,HUGO BOSS Men's Innovation Boxer Brief,2266.719970703125
Dresses,Nicole Miller Women's Reverse Stretch Charmeuse Boat Neck Dress,2250.0
Outerwear & Coats,Bergama Natural Raccoon Hooded Stroller - - Multicolor,2249.969970703125
Outerwear & Coats,Women's Full Length Overcoat in Pure Cashmere,2245.0
Outerwear & Coats,Carhartt Men's Canvas Shirt Jacket,2244.949951171875
Outerwear & Coats,United Face Mens Hooded Reversible Leather Bomber Jacket,2241.0
Suits & Sport Coats,FactoryExtreme Showman Men's Brown Biker Leather Jacket,2240.819961547851
Outerwear & Coats,Sitka Gear Men's Softshell Jacket,2232.0
Blazers & Jackets,BCBGMAXAZRIA Women's Bowie Printed Tuxedo Jacket,2232.0
Dresses,BCBGMAXAZRIA Women's Rigby Striped Ponte Sheath Dress,2232.0
Suits & Sport Coats,Diesel Men's Jinkenitor Jacket,2224.0
Jeans,Diesel Men's Zatiny 885w Slim Micro Bootcut Jean,2220.0
Sleep & Lounge,Hanro Men's City Short Pajama Set,2220.0
Suits & Sport Coats,FactoryExtreme Neptune Men's Black Biker Leather Jacket,2219.79995727539
Intimates,Bali Women's One Smooth U-back Underwire,2216.2000427246094
Jeans,PAIGE Women's Skyline Straight Jean,2212.0
Accessories,New Ray Ban RB 4179 601/9A Black Men Women Plastic Sunglasses,2210.5800170898438
Suits & Sport Coats,Michael Kors Mens 2 Button Flat Front Brown Beige Plaid Wool Suit,2209.870071411133
Jeans,Volcom Men's Vorta Slim Straight Leg Fit Jean,2208.149948120117
Outerwear & Coats,Calvin Klein Men's Poly Bonded Jacket,2200.0
Jeans,G-star Mens 3301 Slim Jean,2200.0
Swim,Zoot Sports Men's Ultra Speedzoot Swim Race Suit,2199.919921875
Pants,Faconnable Men's Five Pocket Pant,2193.75
Jeans,Hudson Men's Fletcher Relax Bootcut Jean,2189.0
Pants & Capris,Jones New York Women's Skinny Trouser,2187.2399597167973
Suits & Sport Coats,Pendleton Portland Collection Men's Clarence Blazer,2181.5499572753906
Suits & Sport Coats,Armani Exchange Wool Item Blazer,2178.0
Outerwear & Coats,Port Authority J780 Leather Bomber Jacket,2170.0
Jeans,Wrangler Men's Premium Performance Cowboy Cut Jean,2166.420051574707
Sweaters,Rodd & Gunn East Gore Knit,2160.0
Outerwear & Coats,Levi's Men's Leather Two-Pocket Fashion Moto Jacket,2159.910049438477
Fashion Hoodies & Sweatshirts,Carhartt FRK006 Men's Flame-Resistant Heavyweight Hooded Sweatshirt,2159.3999633789062
Dresses,Joie Women's Maribeth Lace Dress,2156.0
Outerwear & Coats,Merrell Women's Haven Insulated Duffel Coat,2155.1201171875
Jeans,Diesel Men's Thavar Skinny Stone Wash Straight Leg Jean,2152.9200134277344
Sweaters,Huntmaster Cashmere Sweater,2152.0
Suits & Sport Coats,Filson Whipcord Western Vest 10064DY - Dark Gray,2150.0
Pants,Supercords / Pleated Front Dark Brown Cuffed,2148.0
Jeans,Joe's Jeans Women's Stretch Denim Skinny Jeans,2148.0
Outerwear & Coats,Marmot Safire Jacket - Women's,2145.0
Jeans,Earnest Sewn Men's Fulton Classic Straight Leg Jean,2145.0
Outerwear & Coats,Kenneth Cole Men's Wade Fashion Coat,2133.0
Intimates,Fleur Of England Berry Kiss Silk Babydoll FT751,2124.159912109375
Outerwear & Coats,Mountain Hardwear Men's Kelvinator Down Jacket,2120.0
Jeans,EARNEST SEWN DENIM Men's Fulton Slim Fit Jean,2120.0
Pants,AG Adriano Goldschmied Men's Protege Straight Leg Pant,2112.0
Suits & Sport Coats,Joseph Abboud Men's Super 120's Two Button Side Vent Blazer,2112.0
Outerwear & Coats,Alpha N-2B Short Waist Parka,2106.0
Suits & Sport Coats,Scotch & Soda Men's Tuxedo Blazer,2100.0
Blazers & Jackets,Pendleton The Portland Collection Women's Josephine Blazer,2100.0
Outerwear & Coats,Mountain Hardwear Men's Ghost Whisperer Hooded Down Jacket,2100.0
Swim,Miraclesuit Lisa Jane Women's Swimsuit 80727,2100.0
Suits,Evan Picone Women's Houndstooth Trench Pant Suit,2100.0
Suits & Sport Coats,Jones New York Men's 2 Button Solid Sport Coat,2100.0
Jumpsuits & Rompers,Adidas Women's Jeremy Scott Animal Print Jumper Jumpsuit-Dark Yellow,2100.0
Active,Mountain Hardwear Women's Citilicious Coat,2100.0
Active,Icebreaker Women's Cascade Full Zip,2099.900054931641
Suits & Sport Coats,7 For All Mankind Men's Shaved Cord Blazer,2099.900054931641
Sleep & Lounge,Regency New York Men's Smoking Jacket Octavius Gray,2099.6500854492188
Sleep & Lounge,Premium Soft Brushed Fleece Big and Tall Robe,2099.279914855957
Outerwear & Coats,Arc'teryx Women's Caliber Cardigan,2097.0
Suits & Sport Coats,Diesel Men's Jimeneo Jacket,2094.0
Jeans,7 For All Mankind Women's Bootcut Jean,2090.239990234375
Jeans,G-Star Men's Arc 3D Slim Volt Denim,2090.0
Jeans,J Brand Mens Kane Slim Straight Leg Denim Jeans in Weathered Olive,2090.0
Jeans,Hudson Men's Lou Tuxedo Straight Leg Jean,2090.0
Outerwear & Coats,Fred Perry Men's Light Weight Wadded Gilet,2090.0
Jeans,Joe's Jeans Men's Brixton Straight and Narrow Denim in Bradley,2090.0
Sweaters,Handknit Men's Aran Zip Cardigan,2086.0
Dresses,BCBGMAXAZRIA Women's Magde Strapless Cocktail Dress,2086.0
Outerwear & Coats,Canada Goose Women's Whistler Parka,2085.0
Suits & Sport Coats,Tommy Hilfiger Men's Houndstooth Trim Fit Suit,2079.919921875
Dresses,Ball Gown Strapless Formal Prom Wedding Dress #2714,2079.919921875
Blazers & Jackets,Yoana Baraschi Women's 7th Heaven Tweed Jacket,2077.52001953125
Outerwear & Coats,Arc'teryx Men's Atom SV Hoody,2072.0
Suits & Sport Coats,Tommy Hilfiger Men's Two Button Trim Fit 100% Wool Suit Separate Coat,2069.910049438477
Suits & Sport Coats,French Connection Men's Box Office Peach Pie Blazer,2068.0
Dresses,French Connection Women's Unno Dress,2052.0
Active,The North Face Denali Fleece Jacket - Men's,2039.9000549316409
Suits,Anne Klein Classic Fit Urban Gem Skirt Suit Onyx Multi,2039.8800659179688
